0,1,13
0,1,12
0,1,10
0,1,10
0,0,12
2,1,73
2,0,57
2,0,150
2,0,50
2,1,27
2,1,30
2,0,25
2,1,20
2,0,40
2,1,16
2,0,60
2,0,42
2,0,29
2,1,40
2,0,60
2,1,23
2,0,65
2,0,80
2,0,35
2,0,57
2,0,48
2,0,49
2,1,99
2,0,58
2,1,25
1,1,19
1,0,20
1,1,45
1,1,18
1,1,10
1,0,15
1,1,12
1,0,16
1,1,20
1,0,40
1,0,28
1,0,28
1,0,75
1,0,65
1,1,23
0,0,16
0,1,13
0,0,40
0,0,13
0,0,15
0,1,20
0,1,15
0,0,15
0,1,12
0,0,18
0,0,25
0,0,18
0,0,29
0,1,13
0,0,29
0,0,13
0,0,10
0,0,18
0,0,13
0,1,15
0,0,25
0,0,18
0,1,15
0,0,60
0,0,23
1,0,15
1,1,17
1,0,30
1,1,16
1,0,35
1,1,13
1,0,28
1,0,26
1,0,36
1,0,25
1,1,20
1,0,10
1,1,15
1,1,8
1,0,11
1,0,55
1,0,35
1,0,40
1,0,16
1,0,10
1,0,13
1,1,18
1,1,15
1,1,10
1,1,14
1,0,17
1,0,12
1,0,38
1,1,28
1,0,29
1,1,17
1,0,35
1,0,18
1,0,14
1,1,32
1,1,30
1,1,32
1,0,15
1,1,18
1,1,20
1,0,15
1,0,14
1,0,23
1,1,10
1,1,45
1,0,38
1,1,23
1,0,17
1,0,22
1,0,48
1,1,19
1,1,40
1,0,24
1,0,30
0,0,22
0,0,13
0,0,11
0,0,7
0,0,20
0,1,23
0,0,18
0,1,30
0,0,39
0,1,11
0,1,45
0,1,23
0,0,28
0,1,13
0,0,13
0,0,19
0,0,13
0,0,11
0,0,15
0,0,17
0,0,16
0,1,24
0,0,10
0,0,20
1,0,10
1,0,11
1,0,14
1,0,40
1,0,45
1,1,17
1,0,9
1,1,12
1,0,90
1,0,42
1,1,21
1,0,13
1,1,15
1,1,12
1,0,20
1,0,19
1,1,38
1,0,15
1,1,15
1,0,13
1,0,13
2,1,18
2,1,35
2,1,24
2,0,42
2,0,42
2,0,27
2,0,49
2,0,29
2,1,25
2,0,30
2,0,27
2,0,39
2,0,65
2,0,30
2,1,20
2,0,28
2,0,24
2,0,16
2,1,32
2,0,32
2,0,39
2,1,16
2,0,42
2,1,22
2,0,85
2,0,65
2,1,28
1,0,20
1,1,17
1,0,19
1,1,25
1,1,34
1,1,14
1,1,15
1,0,40
1,0,19
1,1,28
1,0,26
1,0,18
1,1,22
1,0,15
1,1,15
1,1,25
1,0,72
1,0,48
1,0,40
1,1,16
1,1,25
1,1,25
0,0,14
0,1,10
0,1,8
0,1,9
0,1,20
0,1,18
0,1,13
0,0,26
0,0,12
0,0,10
0,1,13
0,1,9
0,1,9
0,1,20
0,1,18
0,0,13
0,1,16
0,1,10
0,1,15
0,0,7
0,1,11
0,0,22
0,0,30
2,0,80
2,1,74
2,0,120
2,1,19
2,0,50
2,1,24
2,1,45
2,1,45
2,0,75
2,0,29
2,0,42
2,0,60
2,0,19
2,0,44
2,1,44
2,1,26
2,1,26
2,0,70
2,0,40
2,0,60
2,0,50
2,0,28
2,0,15
2,1,56
1,1,20
1,1,20
1,0,65
1,0,38
1,0,14
1,1,29
1,1,14
1,1,12
1,0,22
1,1,15
1,1,18
1,0,20
1,1,15
0,0,18
0,0,54
0,0,16
0,1,25
0,1,15
0,1,18
1,0,14
1,0,15
1,1,48
1,0,60
1,0,10
1,0,28
1,0,18
1,0,25
1,0,11
1,0,20
1,1,13
1,0,45
1,0,22
1,0,11
1,1,14
1,0,55
1,0,32
1,0,45
1,0,20
1,0,13
0,1,20
0,0,12
0,0,36
0,1,11
0,0,20
0,1,10
0,0,30
0,1,9
0,0,11
0,1,12
0,1,15
0,1,17
0,1,18
0,0,9
0,0,15
0,1,9
0,0,8
0,0,42
0,1,10
0,0,10
0,1,12
0,0,12
0,1,14
0,0,13
0,0,15
0,0,13
0,0,35
0,0,32
0,1,16
0,0,24
0,0,20
0,1,12
0,0,11
0,0,10
0,1,13
0,0,10
0,1,12
0,0,15
0,0,39
0,0,24
0,1,12
0,0,10
0,0,23
0,0,25
0,0,25
0,1,20
0,0,18
0,0,28
0,0,22
0,1,20
1,0,19
1,0,21
1,0,14
1,0,21
1,0,42
1,0,15
1,0,18
1,0,50
1,0,28
1,0,35
1,1,23
1,0,19
1,1,25
1,0,16
1,0,17
1,0,17
1,0,40
1,0,19
1,0,20
1,0,20
1,0,20
1,0,15
1,0,18
1,0,15
1,1,16
1,0,17
1,1,20
1,0,30
1,0,20
1,1,17
1,0,30
1,0,79
1,0,22
1,0,17
1,0,31
1,1,20
1,0,35
1,1,69
1,0,42
1,0,39
1,0,22
1,0,68
1,0,40
1,0,40
1,1,21
1,1,13
1,0,13
1,0,11
1,0,12
1,1,14
1,1,28
1,1,20
1,1,23
1,1,10
1,1,17
1,0,18
1,1,12
1,0,13
1,0,24
1,0,10
1,1,19
1,1,20
1,0,165
1,0,12
1,1,13
1,0,12
1,1,16
1,0,13
1,0,12
2,0,32
2,0,46
2,0,15
2,0,48
2,0,65
2,1,24
2,1,15
2,0,35
2,0,20
2,0,65
2,0,95
2,0,80
2,0,32
2,0,22
2,0,25
2,0,40
2,0,75
2,1,20
2,1,14
2,0,65
2,0,75
2,0,18
2,1,44
2,1,15
2,0,25
0,0,24
0,1,12
0,0,10
0,1,28
0,0,48
0,0,27
0,0,17
0,0,15
0,0,48
0,0,12
0,1,18
0,0,20
0,1,25
0,0,35
0,0,21
0,0,12
0,0,23
0,0,25
0,1,22
0,0,40
0,0,25
0,1,22
0,1,18
0,1,13
0,1,19
0,0,10
0,1,13
0,1,11
0,0,10
0,1,8
0,0,14
0,1,18
0,1,11
3,0,69
3,1,65
3,1,65
3,0,75
3,0,315
3,1,54
3,1,65
3,0,52
3,0,312
3,0,75
3,0,44
2,0,24
2,0,50
2,0,31
2,0,145
2,0,35
2,0,30
2,0,138
2,0,60
2,0,51
2,0,50
2,0,38
2,0,30
2,0,30
2,0,60
2,1,62
2,0,123
2,1,31
2,0,25
2,0,32
2,0,140
2,0,35
2,0,21
2,0,55
2,0,28
1,1,16
1,0,13
1,0,12
1,1,9
1,1,13
1,0,23
1,0,16
1,1,15
1,1,13
1,0,19
1,0,30
1,0,13
1,0,25
1,0,20
1,1,10
1,0,32
1,1,25
1,1,14
1,0,20
1,0,65
1,1,16
1,0,67
1,0,20
1,0,20
1,1,12
1,0,15
1,0,23
1,1,25
1,0,34
1,1,24
1,1,22
1,1,25
1,1,20
1,0,36
1,0,18
1,0,80
1,0,20
1,0,150
1,0,55
1,0,79
1,0,17
1,0,14
1,1,16
1,1,10
1,1,17
1,1,12
1,0,45
1,0,30
1,1,20
1,1,30
1,1,10
1,0,60
1,0,20
1,0,24
1,0,55
1,1,22
1,1,13
1,0,22
1,0,12
1,1,18
0,1,24
0,0,30
0,0,22
0,1,18
0,0,25
0,1,14
0,1,30
0,0,18
0,0,20
0,0,11
0,0,21
0,0,20
0,0,16
0,1,18
0,0,25
0,1,18
0,1,14
0,0,11
0,0,20
0,0,11
0,0,7
0,0,12
0,1,8
1,0,14
1,1,19
1,1,26
1,0,20
1,0,40
1,0,60
1,0,50
1,1,22
1,0,19
1,1,22
1,0,29
1,1,20
1,1,24
1,1,19
1,1,18
1,0,13
1,1,17
1,0,21
1,0,10
1,0,20
1,1,15
1,0,34
1,0,40
1,1,26
0,0,17
0,0,34
0,1,11
0,0,27
0,1,14
0,0,12
0,1,26
0,1,20
0,1,10
0,1,10
0,0,20
0,0,35
0,0,30
0,0,18
0,0,15
0,0,19
0,0,8
0,0,11
0,0,13
0,1,10
0,0,29
0,1,7
0,0,22
0,0,42
0,0,22
0,1,12
0,0,42
2,0,30
2,0,25
2,1,27
2,0,36
2,0,34
2,0,29
2,1,21
2,0,45
2,0,24
2,1,17
2,0,30
2,0,40
2,0,22
2,0,39
2,1,17
2,0,36
2,1,70
2,0,35
2,0,30
2,0,65
0,0,42
0,0,25
0,0,24
0,1,22
0,1,18
0,0,13
0,0,40
0,0,18
0,0,45
0,0,26
0,0,25
0,1,25
0,0,60
0,1,20
0,1,12
0,1,16
0,1,20
0,0,25
0,1,25
3,0,185
3,0,75
3,0,85
3,0,52
3,1,63
3,1,73
3,0,50
3,0,312
2,1,50
2,0,50
2,0,40
2,0,40
2,0,54
2,1,131
2,1,50
2,0,55
2,0,49
2,0,312
2,0,55
2,0,48
2,0,50
2,1,40
2,0,30
2,1,40
2,0,25
2,0,47
2,0,32
2,0,68
2,0,42
2,0,20
2,1,196
2,0,95
2,0,30
2,1,19
2,1,45
2,0,40
2,0,52
2,0,79
2,0,20
2,1,42
2,0,24
2,0,42
2,0,29
2,0,80
2,0,30
2,1,14
2,0,65
2,0,30
2,0,45
2,0,18
2,0,75
2,1,44
2,1,15
2,0,19
2,0,35
2,0,20
2,0,17
2,0,34
2,1,14
2,0,32
2,1,12
2,0,38
2,0,26
2,1,25
2,0,65
2,0,37
2,0,29
1,1,12
1,0,15
1,0,20
1,0,12
1,0,17
1,0,42
1,1,15
1,1,23
1,0,25
1,1,18
1,1,23
1,0,38
1,1,8
1,0,13
1,1,17
1,0,19
1,0,36
1,1,10
1,0,18
1,1,27
1,1,16
0,0,24
0,1,12
0,1,15
0,1,12
0,0,20
1,0,150
1,0,55
1,0,79
1,0,32
1,1,15
1,1,15
1,0,60
1,1,12
1,0,15
1,1,15
1,0,32
1,0,15
1,0,24
1,0,38
1,0,47
1,0,12
1,1,22
1,0,120
1,1,24
1,0,38
1,0,36
1,0,60
1,0,55
1,0,45
1,1,21
1,1,16
1,0,13
1,0,27
1,0,15
1,0,17
1,0,15
1,1,19
1,0,20
1,0,15
1,0,25
1,1,22
1,0,20
1,0,32
1,0,15
1,0,15
1,1,24
1,0,20
1,1,30
1,1,20
1,0,16
1,1,10
1,0,15
1,1,18
1,0,25
1,0,17
1,0,18
1,0,22
1,1,16
1,0,12
1,0,35
1,0,55
1,0,19
1,0,16
1,1,20
1,0,19
1,1,19
1,1,27
1,1,27
1,0,25
1,1,17
0,1,12
0,1,15
0,1,12
0,0,32
0,0,22
3,1,90
3,1,70
3,0,95
3,0,60
3,1,89
3,0,82
3,1,51
3,0,100
3,1,120
3,1,237
3,1,68
3,1,135
3,0,115
3,1,85
0,0,30
0,1,16
0,0,16
0,1,12
0,0,15
0,0,25
0,1,16
3,0,125
3,0,130
3,0,27
3,1,39
3,0,57
3,1,50
3,0,70
3,0,40
3,0,57
2,0,32
2,0,59
2,0,65
2,0,54
2,0,100
2,0,130
2,0,50
2,1,50
2,0,150
2,0,38
2,0,26
2,0,32
2,1,12
2,1,25
2,0,65
2,0,29
2,1,28
2,0,38
2,1,25
2,0,29
2,0,13
2,0,55
2,0,59
2,0,75
2,0,45
2,0,22
2,0,40
2,0,50
2,0,40
2,0,60
2,1,17
2,0,35
2,0,80
0,1,10
0,0,10
3,0,100
3,1,100
3,0,100
3,0,125
3,0,50
3,0,60
3,1,62
3,1,120
3,0,130
3,1,65
3,0,60
3,0,65
3,1,46
3,0,99
3,1,50
3,1,28
3,0,90
0,0,45
0,1,23
0,1,15
0,1,15
0,1,6
0,1,20
0,1,12
0,0,13
0,1,26
0,0,14
0,0,17
0,0,19
0,1,10
0,1,13
0,0,16
0,1,14
0,0,11
0,1,18
0,1,13
0,0,22
0,1,14
0,0,19
2,0,42
2,0,98
2,0,50
2,0,49
2,0,50
2,0,100
2,0,99
2,0,39
2,0,40
2,0,90
2,0,35
2,0,75
2,0,39
2,0,40
2,1,29
2,0,54
2,0,40
2,0,70
2,0,79
2,0,29
2,1,38
2,0,60
2,0,36
2,1,44
2,0,52
2,0,50
2,1,55
2,0,72
2,0,20
2,0,85
2,0,50
2,0,38
2,1,22
2,0,49
2,0,110
2,0,32
2,0,50
2,0,36
2,1,41
2,1,30
2,0,39
2,1,45
2,1,25
2,0,25
2,0,20
2,1,125
2,0,45
2,0,39
2,0,40
2,0,27
2,1,20
2,1,104
1,0,22
1,0,25
1,0,65
1,0,19
1,1,14
1,0,30
1,0,8
1,1,22
1,0,52
1,0,45
1,1,17
1,0,55
1,0,50
1,1,17
1,0,40
1,0,39
1,0,40
1,0,17
1,0,35
1,1,13
1,0,17
1,0,40
1,1,15
1,0,16
1,0,10
1,0,8
1,1,34
1,1,12
1,1,15
1,1,15
1,1,22
1,1,19
1,0,10
1,0,24
3,0,175
3,0,50
3,1,71
3,1,92
3,0,65
3,0,75
3,1,107
3,0,80
2,1,99
2,1,237
2,0,57
2,0,50
2,1,75
2,1,65
2,0,150
2,0,42
2,0,60
2,0,90
2,0,52
2,0,70
2,1,89
2,1,45
2,0,58
2,1,38
2,0,102
2,0,75
2,0,55
2,1,50
2,0,100
2,1,39
2,0,80
2,0,100
2,0,63
2,0,75
2,0,54
2,0,115
2,0,29
2,1,40
2,1,24
2,0,106
2,0,28
2,0,48
2,0,23
2,1,30
2,1,49
2,0,30
1,0,12
1,1,22
1,0,16
1,0,21
1,0,10
1,0,22
1,0,18
1,0,22
1,0,15
1,1,15
1,0,16
1,0,12
1,1,15
1,0,25
1,0,68
1,1,16
1,0,22
1,0,16
1,0,14
1,0,50
1,0,25
1,1,15
1,0,45
1,1,28
1,0,38
1,1,14
1,0,34
1,0,25
3,1,53
3,1,55
3,0,84
3,1,90
3,0,80
3,0,100
3,1,50
3,1,50
3,1,35
3,1,60
3,0,60
3,1,34
3,1,35
3,0,100
2,0,58
2,1,72
2,0,90
2,1,34
2,1,40
2,0,110
1,1,22
1,0,120
1,0,22
1,0,25
1,0,40
1,0,35
1,1,12
1,0,75
1,0,42
1,0,52
1,0,20
1,0,60
1,1,16
1,0,20
1,1,22
1,0,35
2,0,20
2,0,40
2,0,72
2,1,40
2,0,27
2,0,29
2,0,25
2,0,50
2,0,55
2,0,38
2,0,20
2,0,38
2,0,16
2,0,22
2,1,14
2,0,48
2,1,45
2,0,17
2,1,60
2,1,14
2,1,17
2,0,26
2,0,45
2,0,52
2,1,12
2,0,56
0,1,8
0,0,20
0,0,17
0,1,24
0,1,18
0,1,11
0,0,64
0,0,12
0,1,11
0,0,12
0,1,14
0,1,12
0,0,7
0,0,9
0,0,30
0,1,13
0,0,13
0,0,26
0,0,14
0,0,13
0,1,15
0,1,20
0,1,10
0,1,20
0,0,55
0,1,14
0,0,28
2,1,38
2,0,60
2,0,50
2,0,36
2,0,46
2,0,60
2,1,38
2,0,78
2,0,124
2,0,35
2,0,48
2,0,54
2,0,45
2,0,55
2,0,42
2,1,24
2,0,20
2,1,21
2,0,60
2,0,42
2,0,92
2,1,36
2,0,50
2,0,50
2,0,54
2,0,25
2,1,75
2,1,36
2,0,22
2,0,30
2,0,25
2,0,60
2,1,20
2,0,112
2,0,24
2,0,125
2,0,140
2,0,28
2,0,42
2,0,25
2,0,52
2,0,40
2,0,48
2,1,85
2,0,35
2,0,87
2,0,20
2,0,45
2,0,28
2,1,27
1,0,16
1,0,23
1,1,9
1,0,20
1,0,14
1,0,28
1,0,15
1,0,30
1,0,80
1,0,25
1,0,10
1,0,14
1,1,16
1,1,8
1,1,23
1,1,14
1,1,12
1,0,30
1,0,32
1,0,15
1,0,15
1,1,13
1,1,13
2,0,75
2,1,66
2,0,55
2,0,100
2,0,70
2,0,95
2,0,135
2,1,65
2,1,50
2,1,44
2,1,80
2,1,37
2,1,58
2,0,56
2,1,55
1,1,20
1,0,13
1,0,22
1,1,17
1,0,20
1,0,13
1,0,28
1,0,35
1,0,16
1,0,13
1,0,12
1,0,18
1,0,15
1,1,25
1,0,45
1,0,25
1,0,15
1,1,15
1,1,19
1,0,20
1,0,25
1,1,28
1,0,45
1,0,19
2,0,44
2,0,100
2,1,39
2,0,32
2,0,52
2,0,90
2,1,39
2,0,79
2,0,40
2,0,16
2,0,20
2,0,55
2,0,25
2,0,84
2,0,36
2,1,39
2,1,45
2,1,32
2,1,41
2,0,59
2,0,95
2,1,40
2,0,110
2,1,50
2,0,68
2,0,65
2,0,45
2,0,60
2,0,75
2,1,30
2,1,35
2,0,43
2,0,48
2,0,55
2,1,49
2,1,44
2,1,57
2,1,34
2,1,40
2,1,40
2,0,140
2,0,38
2,1,45
2,1,38
2,1,33
2,0,43
2,0,45
2,1,105
2,1,30
1,0,20
1,1,22
1,0,35
1,1,20
1,0,38
1,1,18
1,1,26
1,0,33
1,1,28
1,0,28
1,0,30
1,1,34
1,0,22
1,0,28
1,0,32
1,0,15
1,1,14
1,0,28
2,0,30
2,0,35
2,1,15
2,1,35
2,0,35
2,0,25
2,0,30
2,0,80
2,0,20
2,0,30
2,0,17
2,0,45
2,1,19
2,1,40
2,0,35
2,0,48
2,1,30
0,1,8
0,1,14
0,1,17
0,0,28
0,0,16
0,1,9
0,0,14
0,0,10
0,1,9
0,0,28
0,1,14
0,0,13
0,0,18
0,0,15
0,1,15
0,0,10
0,0,40
0,0,32
0,1,26
0,1,15
0,0,30
0,1,14
0,0,25
0,1,10
2,0,42
2,0,50
2,1,33
2,0,68
2,1,20
2,0,60
2,0,35
2,0,45
2,1,27
2,0,32
2,1,49
2,0,32
2,0,65
2,0,74
2,0,86
2,0,55
2,1,39
2,0,82
2,0,84
2,0,50
2,1,30
2,0,52
2,0,100
2,1,18
2,1,55
2,0,101
2,1,28
2,0,85
2,0,55
2,0,35
2,1,22
2,0,16
2,0,20
2,1,22
2,0,32
2,1,70
2,1,49
2,0,32
2,0,70
2,1,35
2,0,40
2,0,22
2,1,50
2,1,20
2,0,29
2,1,73
1,0,10
1,0,15
1,0,36
1,1,30
1,0,40
1,1,11
1,0,14
1,0,15
1,0,25
1,1,28
1,1,14
1,1,20
1,0,100
1,0,12
1,0,15
1,0,17
1,0,28
1,0,16
1,0,42
1,0,20
1,1,15
2,0,60
2,1,44
2,0,75
2,1,30
2,0,30
2,0,65
2,1,50
2,0,100
2,1,38
2,1,42
2,1,45
2,0,70
2,0,230
2,1,52
2,0,70
1,0,17
1,1,30
1,1,14
1,1,20
1,0,10
1,0,40
1,0,21
1,0,12
1,1,15
1,0,29
1,0,40
1,0,34
1,1,17
1,1,24
1,0,17
1,0,28
1,1,24
1,0,29
1,0,45
1,0,18
1,1,11
1,0,12
1,0,18
1,0,35
2,0,34
2,0,65
2,0,130
2,0,18
2,1,43
2,0,48
2,1,48
2,0,20
2,0,135
2,0,35
2,0,36
2,1,18
2,0,65
2,0,100
2,0,70
2,1,32
2,0,55
2,0,50
2,0,59
2,1,45
2,0,72
2,0,150
2,0,18
2,0,22
2,0,42
1,0,48
1,0,35
1,0,19
1,0,35
1,1,25
1,0,40
1,0,19
1,0,62
1,1,22
1,0,39
1,0,28
1,0,12
1,0,20
1,0,22
1,0,33
1,0,12
1,1,20
1,0,40
2,0,60
2,1,34
2,0,58
2,0,105
2,0,70
2,0,65
2,0,65
2,0,86
2,0,125
2,0,60
2,1,59
2,1,135
2,0,99
2,1,52
2,1,44
2,0,62
2,0,85
2,1,34
2,1,72
2,0,90
2,0,45
2,1,47
2,1,45
2,0,40
2,1,18
2,1,34
2,1,35
2,1,35
2,0,49
2,0,15
2,0,26
2,0,23
2,1,15
2,0,45
2,0,55
2,0,25
2,0,22
2,0,19
2,0,18
2,1,30
2,0,79
2,0,44
2,0,69
0,1,10
0,0,35
0,0,28
0,1,14
0,0,7
0,0,15
0,0,12
0,0,17
0,1,9
0,0,11
0,0,9
0,1,8
0,1,16
0,1,13
0,0,10
3,0,288
3,0,150
3,0,281
3,0,208
3,0,85
3,0,199
3,0,45
3,0,82
3,0,307
2,1,34
2,0,45
2,0,82
2,1,22
2,0,36
2,0,60
2,0,26
2,0,99
2,0,25
2,0,27
2,0,40
2,0,60
2,1,38
2,1,40
2,0,22
2,0,48
2,0,100
2,0,48
2,0,60
2,0,45
2,0,65
2,1,159
2,0,32
2,1,16
2,1,30
2,1,45
2,0,75
2,0,35
2,1,42
2,0,50
2,1,40
2,1,18
2,0,17
2,1,20
2,1,35
2,0,40
2,1,18
2,0,45
2,1,60
2,1,65
2,1,35
2,0,62
2,0,39
2,0,25
2,1,74
2,0,29
2,1,19
2,0,33
1,1,15
1,0,60
1,1,12
1,0,15
1,1,24
1,0,14
1,0,16
1,1,10
1,0,50
1,1,24
1,0,17
1,0,45
1,0,26
1,0,19
1,0,26
1,1,14
1,1,20
1,0,28
1,0,42
1,1,20
1,0,10
1,1,15
1,0,28
2,0,55
2,1,25
2,0,70
2,0,47
2,0,65
2,1,110
2,0,50
2,1,40
2,0,44
2,1,65
2,0,48
2,1,48
2,1,90
2,0,65
2,0,30
2,1,40
1,0,21
1,0,15
1,1,15
1,0,15
1,1,28
1,0,30
1,0,24
1,0,12
1,1,15
1,0,14
1,0,35
1,0,25
1,0,15
1,0,20
1,0,15
1,0,13
1,0,34
1,1,18
1,0,21
1,1,14
1,0,15
1,1,24
1,0,34
1,0,12
1,1,20
1,1,9
2,0,55
2,1,50
2,0,55
2,0,26
2,0,45
2,1,28
2,0,21
2,0,29
2,0,115
2,1,17
2,0,48
2,0,15
2,1,32
2,1,20
2,0,49
2,0,66
2,0,88
2,0,39
2,1,38
2,0,40
2,0,59
2,0,48
2,0,59
2,0,59
1,0,55
1,0,55
1,0,65
1,0,35
1,1,20
1,1,19
1,0,150
1,0,20
1,1,25
1,1,16
1,1,13
1,0,38
1,1,20
1,0,20
1,1,15
1,0,48
1,1,30
1,0,20
2,0,110
2,0,64
2,0,30
2,0,65
2,1,43
2,1,68
2,1,75
2,0,70
2,1,26
2,1,45
2,1,34
2,0,65
2,0,69
2,1,20
2,0,48
2,0,85
2,1,45
2,1,28
2,1,35
2,0,50
2,1,30
2,0,90
2,0,50
2,1,25
2,0,60
2,0,16
2,0,80
2,0,29
2,0,35
2,0,35
2,0,21
2,0,58
2,0,17
2,0,32
2,0,75
2,1,37
2,0,65
2,1,15
2,1,35
2,0,45
2,0,56
2,1,35
2,0,28
2,1,25
2,0,22
2,1,24
3,0,48
3,0,168
3,0,50
3,0,70
3,1,80
3,0,135
3,0,200
3,0,60
3,0,93
2,0,62
2,1,80
2,1,80
2,0,62
2,1,45
2,0,80
2,0,40
2,0,88
2,0,60
2,0,39
2,0,60
2,0,62
2,0,117
2,0,70
1,1,25
1,1,16
1,1,13
1,0,38
1,1,20
1,0,20
1,1,15
1,0,48
1,1,30
1,0,20
1,1,20
1,0,28
1,0,25
1,0,48
1,1,17
2,1,25
2,0,55
2,0,36
2,0,50
2,0,48
2,0,100
2,0,38
2,0,45
2,0,34
2,1,23
2,0,42
2,0,64
2,1,25
2,1,48
2,0,65
2,0,20
2,0,35
2,0,24
2,0,40
2,0,31
2,0,60
2,0,30
2,0,40
2,0,27
2,0,50
2,1,25
2,1,14
2,1,18
2,0,50
2,1,16
2,0,25
2,0,25
2,1,55
2,1,29
2,0,22
2,1,25
2,0,50
2,0,80
2,0,30
2,1,28
2,0,27
2,1,45
2,0,52
2,1,19
2,0,35
2,0,30
2,0,49
2,0,25
2,0,40
1,0,15
0,0,16
0,1,13
0,0,16
0,1,10
0,1,12
0,1,19
0,0,11
0,1,11
0,0,12
0,1,16
0,1,18
0,1,11
0,0,12
0,0,17
0,0,26
2,1,37
2,0,65
2,1,15
2,0,90
2,0,32
2,1,35
2,0,45
2,0,56
2,0,36
2,1,15
2,1,16
2,1,12
2,0,25
2,0,65
2,0,42
2,1,22
2,0,49
2,1,15
2,0,110
2,0,25
2,0,35
2,0,16
2,0,29
2,0,80
1,0,26
1,0,45
1,1,12
1,1,22
1,0,35
1,0,20
1,0,25
1,0,10
1,0,27
1,0,10
1,1,15
1,0,14
1,1,12
1,0,15
1,0,45
1,0,13
1,0,30
1,0,18
1,0,42
1,0,10
1,1,30
1,0,15
1,0,30
1,1,20
1,0,50
1,1,18
1,0,35
2,1,24
2,0,75
2,0,90
2,0,50
2,1,40
2,0,58
2,1,45
2,0,75
2,0,40
2,1,51
2,1,18
2,1,70
2,1,40
2,0,45
2,0,65
2,0,76
2,0,90
2,0,50
2,1,25
2,0,27
2,0,110
2,1,90
2,1,50
2,0,30
2,0,60
2,0,63
2,0,150
2,0,70
2,0,45
2,0,60
2,0,65
2,0,100
2,1,40
2,1,53
2,0,45
2,1,38
2,1,38
2,1,34
2,0,30
2,1,50
2,1,20
2,0,135
2,1,45
2,0,50
2,1,26
2,0,48
2,1,35
2,0,45
2,0,25
2,0,40
2,1,25
2,0,24
2,1,38
2,0,19
2,0,90
2,1,23
2,0,65
2,1,25
2,0,85
2,0,44
2,1,59
2,0,54
2,1,28
2,0,120
2,0,36
2,0,90
2,0,44
1,0,16
1,0,36
1,0,13
1,0,13
1,1,12
1,0,19
1,0,42
1,0,22
1,1,20
1,1,15
1,1,24
1,0,40
1,0,54
1,0,18
1,0,30
1,0,43
1,0,42
1,0,20
1,1,13
1,1,19
1,0,30
1,0,45
1,1,11
1,0,34
2,1,68
2,0,60
2,0,90
2,0,66
2,1,45
2,0,66
2,0,50
2,0,50
2,0,85
2,1,38
2,1,30
2,0,62
2,0,133
2,0,310
2,0,39
2,1,47
2,0,100
2,0,41
2,1,35
2,0,50
2,0,65
2,0,42
2,0,115
2,0,34
2,0,125
2,0,78
2,0,75
2,0,44
2,0,52
2,0,52
2,1,58
2,0,52
2,0,40
2,0,27
2,0,35
2,0,45
2,0,57
2,0,40
2,1,45
2,0,25
2,0,25
2,1,36
2,0,49
2,1,40
2,1,46
2,0,30
2,0,52
2,1,40
2,0,44
2,0,30
2,0,45
2,0,35
2,0,48
2,0,35
2,0,35
1,1,25
1,1,15
1,1,28
1,0,23
1,1,12
1,0,120
1,0,20
1,1,23
1,1,17
1,1,26
1,0,24
1,0,17
1,1,20
1,0,35
1,0,12
1,0,25
1,0,65
1,0,28
1,0,54
1,0,18
1,0,30
1,0,43
1,0,42
1,0,20
1,1,13
1,1,19
1,0,30
1,0,45
1,1,12
1,0,19
1,1,11
1,0,34
1,1,37
1,0,13
1,0,18
1,0,23
1,0,30
1,0,42
1,1,35
1,0,28
1,0,18
0,1,18
0,0,36
0,0,30
0,1,24
0,1,15
0,0,12
0,1,15
0,0,15
0,0,10
0,0,28
0,0,30
0,1,15
0,0,19
0,0,12
0,1,12
0,1,12
0,1,18
0,1,10
0,1,22
0,1,10
0,0,30
0,0,32
0,0,11
2,0,28
2,0,19
2,0,52
2,0,15
2,1,29
2,0,70
2,0,100
2,0,38
2,0,20
2,0,40
2,1,16
2,0,50
2,0,50
2,0,36
2,0,75
2,0,27
2,0,55
2,1,45
2,0,30
2,1,27
2,1,20
2,0,18
2,0,10
1,0,24
1,0,18
1,0,25
1,0,50
1,0,16
1,0,10
1,1,16
1,1,42
1,0,42
1,0,30
1,0,14
1,0,16
1,0,20
1,0,15
1,1,16
1,0,17
1,0,38
1,0,30
1,0,25
1,0,15
1,0,50
1,0,16
1,1,24
1,1,24
1,0,13
1,1,30
1,1,12
1,0,60
2,0,50
2,0,19
2,0,65
2,0,42
2,1,30
2,0,48
2,1,39
2,0,67
2,1,45
2,0,68
2,1,30
2,0,30
2,0,47
2,1,45
2,0,100
2,0,75
2,1,40
2,0,35
2,0,70
2,0,56
2,0,42
2,0,42
2,1,48
2,0,55
2,0,55
2,0,35
2,1,37
2,0,199
2,0,45
2,0,50
2,1,80
2,1,70
2,0,57
2,1,40
2,0,20
2,1,45
2,0,60
2,0,50
2,1,45
2,0,35
2,0,75
2,0,75
2,0,38
2,1,30
2,0,50
2,0,215
2,0,72
2,0,39
2,1,35
2,0,40
2,1,32
2,0,36
2,0,105
2,1,34
2,0,60
2,0,60
2,0,75
2,0,70
2,1,21
2,1,79
2,1,42
2,0,65
2,0,52
2,1,38
2,1,40
2,0,86
2,0,52
2,0,95
2,1,48
2,0,34
2,0,32
2,0,28
2,0,56
2,0,50
2,0,62
2,0,86
